,index,cap-diameter,stem-height,stem-width,edible-poisonous_new,does-bruise-or-bleed_new,has-ring_new,cap-shape_new,gill-attachment_new,ring-type_new,habitat_new,cap-color_new,gill-color_new,stem-color_new,season_new
0,0,5.75,6.13,14.93,1,1,0,6,5,1,0,5,10,11,0
1,1,2.27,0.0,0.0,1,0,0,3,3,1,0,2,2,2,1
2,2,5.59,5.47,11.27,1,1,0,1,6,1,0,11,7,11,0
3,3,0.74,4.33,0.98,1,0,0,6,0,1,0,7,5,4,0
4,4,9.6,10.84,28.52,1,0,0,6,0,1,0,5,10,11,2
5,5,9.24,8.52,17.52,0,1,1,6,2,5,3,5,7,11,0
6,6,5.31,3.84,9.24,0,0,0,2,5,1,0,2,10,3,2
7,7,1.43,4.33,1.66,1,0,0,0,0,1,0,5,3,3,2
8,8,1.82,5.26,2.05,1,0,0,0,0,1,0,5,3,6,2
9,9,5.87,0.0,0.0,1,0,0,3,6,1,0,10,10,2,0
10,10,6.04,4.13,6.98,1,0,0,5,1,1,0,6,11,7,0
11,11,4.86,6.54,11.68,0,0,0,6,4,1,0,6,5,1,2
12,12,0.73,3.62,0.77,1,0,0,6,4,1,0,11,11,11,2
13,13,8.7,4.74,23.61,0,0,0,3,4,1,0,5,10,6,2
14,14,8.71,11.88,23.6,0,1,0,6,4,1,0,5,3,11,0
15,15,3.49,7.4,3.98,1,0,0,6,6,1,3,10,7,6,2
16,16,7.37,6.51,14.9,0,0,1,6,4,1,0,11,11,12,0
17,17,4.06,5.98,4.57,1,0,0,0,6,1,0,5,10,11,2
18,18,7.81,7.78,15.16,0,0,1,6,4,1,0,11,11,12,2
19,19,7.18,8.94,13.37,0,0,0,2,5,1,0,6,11,6,0
20,20,0.86,4.54,0.91,1,0,0,2,1,1,1,6,6,12,2
21,21,6.07,4.69,9.22,0,0,0,0,5,1,0,2,3,3,2
22,22,15.8,7.39,22.96,0,0,0,6,0,1,0,5,4,11,0
